关键词,用户名,发布时间,来自,博文,转发数,评论数,收藏数,页面网址
上海,华商报,"
                        今天11:53
                        ",微博视频号,"
                    【上海#浦东通报封控小区店铺擅自开门营业#：导致人员集聚 予以行政处罚】4月3日，上海，网上有视频显示，有潍坊二村居民走出家门，在小区局部区域造成人员聚集现象。4月4日，经有关部门连夜调查，潍坊二村自3月23日起，已被列为封控管理小区。但当日，为民生鲜超市、凡先食品经营部，违反市、区两级防 ​  展开c", 12, 44,429,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,每日经济新闻,"
                        今天08:00
                        ",微博视频号,"
                    【#上海新增本土确诊268例无症状13086例#】 4月4日0—24时，上海新增本土新冠肺炎确诊病例268例和无症状感染者13086例，其中4例确诊病例为此前无症状感染者转归，14例确诊病例和12592例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。新增境外输入性新冠肺炎确诊病例3例和无症状感染者2 ​  展开c", 10637, 4124,22026,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,上海发布,"
                        今天12:18
                        ",微博 weibo.com,"
                    【新增阳性感染者为何破万？全市筛查情况如何？本市疫情热点问题详解】#最新#针对当前本市疫情的热点问题，市疫情防控工作新闻发布会进行解答，详见↓ O新增阳性感染者为何破万？全市筛查情况如何？本市疫情热点问题详解 ​                ", 144, 318,637,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,道善分缘,"
                        9秒前
                        ",微博 weibo.com,#上海疫情# 新冠疫情动态清零是当前国家既定防疫政策，在特殊时期妄议大政方针动摇军心、甚至鼓吹“躺平”者应当予以警戒、制裁，危害严重者更应从严从重惩处以儆效尤。否则树欲静而风不止，祸害无穷。 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,二蛋酱甜酸酱,"
                        10秒前
                        ",iPhone客户端,"
                    昨天卫生院通知电话说要上门采集核酸，等到一点了人没来就睡了最后也没做.请问这个信息是怎么传上去的？给谁做的？#上海疫情# 能不能别这么离谱啊 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,iiDestinyii,"
                        11秒前
                        ",iPhone客户端,#上海疫情还在高位运行#这些天就干了这点事？我要卸载微博了，这一条条热搜看的人火大，没这个能力干脆直接放弃换人吧，越管越严重这种能力也不是所有地方都能做出来的 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,大红矛,"
                        14秒前
                        ",HUAWEI P30,"
                    我也考虑过这个办法，但是上海规定确诊的和无症状的分开安置，你没办法保证这么做就一定变成确诊。//@大鹏在大阪:活久见//@出版人周筠:“那么，当她们真正成为母亲后，为何危急时刻自愿放弃个人安全去陪护自己的孩子这件事，却不被鼓励，甚至不被应允？”O她问，怎样快速感染新冠 //@洛之秋:活久见                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,-四分三十三秒-,"
                        19秒前
                        ",微博视频号,"
                    这画面熟悉的味道。#上海疫情# 上海新国际博览中心方舱医院广场舞跳起来了。 L-四分三十三秒-的微博视频 ​                ", 0, 评论,1,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,平邑县律师,"
                        20秒前
                        ",HUAWEI Mate 20,"
                    清明原创 尹士国 平邑县律师 2022-04-05 14:06图片​       今天是清明，由于疫情还在继续，小城从前天已进行了封控，故踏青和到坟上祭拜也已无法进行。       疫情来了又去，去了又来，反反复复，已是第三个年头。现在，上海还在努力，吉林还在加油，我们赖以生活的小城，也已到了令人焦灼的关头 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,左岸右转1018,"
                        21秒前
                        ",iPhone客户端,#上海新增本土确诊268例无症状13086例#就想啥时候能发物资，别的小区发几次了，我们这菜叶都没有，要逼着大家写联名状吗 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,YY的简单小生活,"
                        24秒前
                        ",iPhone客户端,#上海4月4日全市核酸检测#昨天4号一早就做的核酸，现在5号下午2点多了，健康云到现在还查不到报告结果是什么鬼。说好的36小时大作战呢？ ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,Tearingego,"
                        24秒前
                        ",Redmi K30 Pro 真旗舰,"#挑战杯# 挑战杯招队友
我们是谁: 来自上海对外经贸大学的研究生团队，成员为管理、统计学、计算机背景
我们的项目:挑战杯社区治理赛道
项目内容:以建设美好社区为出发点，搭建社区评价搭建体系为核心，辅以MBTI形式的破圈方式
项目进展:目前已基本成型并通过学校初步筛选
我们需要的你:硕 ​ 展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,Rose仙气猫猫酱,"
                        27秒前
                        ",仙气猫猫酱iPhone XS Max,#上海买菜#三月中下旬的15天是几乎每天凌晨⏰买菜，这次四月官方提前发布了通知给了提前做了半个月的准备整体的精神状态会好，希望快点好起来！坚守谢谢感恩守护 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,樱桃小丸子浪漫无能也好,"
                        28秒前
                        ",微博国际版,"
                    3月底买的西装上海发货 不合适问退货 让我疫情后退 这退一个月的也不用穿了[懒得理你] 就带了一个风衣要过完春天嘛 北京风好大 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,babykn,"
                        30秒前
                        ",iPhone客户端,"
                    一人一个橘子离谱上海还是会有个别小区歧视外地人的，今日新增1.3w无症状感染者这个数字一时半会解封不了安心在家配合核酸，清明追思🙏 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,Stella阿慧,"
                        31秒前
                        ",Note 10 Pro,#上海买菜#小区发菜了 很感谢 没封之前小菜场也供应充足 希望能多照顾独居老人 今天小区统计了有特殊情况急用药的需求 都挺好的 在这个特殊环境下我真的好幸运 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,上海播报,"
                        31秒前
                        ",上海超话,"
                    【4月5日市、区主要医疗机构暂停医疗服务情况（附查询方式）】#便民提示#本市部分医疗机构因配合疫情协查工作，暂停部分医疗服务。为方便市民就医问诊，@健康上海12320 整理了今天主要医疗机构的停诊情况，供广大市民参考。请市民朋友就诊前，及时关注各医疗机构官方网站和公众号等发布信息。#上海播报 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,郑航先生,"
                        33秒前
                        ",微博视频号,"
                    分享视频 L郑航先生的微博视频 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,中国新闻社,"
                        33秒前
                        ",微博 weibo.com,"
                    【#网传上海疫情快速传播来源是快递消息不实#】4月5日，上海市邮政管理局通过微信公众号表示，网上传言“上海疫情快速传播来源是快递”消息不实：从本市公布的信息看，截至目前未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,我的背包里装着开心果,"
                        36秒前
                        ",艾芙花园超话,艾芙花园拼sw，坐标上海，自留圆，剩下1个我带，能拼出去吗 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,七台河检察,"
                        38秒前
                        ",微博视频号,"
                    【#上海一男子买不到菜在家水培白菜#，当事人：既有观赏性还实用】4月2日，上海。刘先生在家因买不到蔬菜便产生了自己用水培养蔬菜的想法。刘先生介绍：目前种了一些白菜、香菜、蒜苗等。就是用普通的水养着菜根，一天换一次水，小时候看过父亲这么做自己也就试试，现在白菜已经长了大概3—5公分，想着 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,珍惜每一天的旅行,"
                        49秒前
                        ",iPhone客户端,#上海辟谣所有企业暂停生产与配送#能不能干点实事啊昨天好不容易拿了一次物资 几颗菜 ……结果 一看放了很久 都不新鲜了…………这也是难得的一次物资…… ​                , 0, 评论,1,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,_貓來信,"
                        50秒前
                        ",iPhone 12 Pro,#上海新增本土确诊268例无症状13086例##成都太古里 防疫# 骂人的话已经不够用了 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,AurdErainla,"
                        50秒前
                        ",要饭攒的iPhone 12,#上海买菜# 刷到很多卡车司机送支援蔬菜到上海 结果没人接收管理甚至还进不了上海 成吨的菜都坏掉了 太可惜了 有没有人管管啊 浪费别人的爱心和粮食真的很不好啊 ​                , 0, 评论,2,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,流水心情lyq,"
                        51秒前
                        ",iPhone客户端,"
                    《上海今日通报感染者过万，专家释疑：三个因素导致走高，市民不必过于恐慌》上海卫健委今天通报：4月4日0-24时，新增本土新冠肺炎确诊病例268例和无症状感染者13086例，新冠感染者人数持续处于高位。O网页链接 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,撒娇超鹅最好命,"
                        51秒前
                        ",长意哭哭的iPhone 12,#上海新增本土确诊268例无症状13086例#我也忍不了了想问问既然之前的鸳鸯锅计划已经更改、解封也遥遥无期，那物资保障怎么弄啊？凭啥我们小区发的全是胡萝卜完全没有肉啊？？？虽然我们小区一直全阴，但现在不解封我们也一样没办法买到吃的啊？！我今天辛拉面都掰成两半烧了 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,老丁爱面包,"
                        51秒前
                        ",iPhone 12 Pro Max,"
                    虹口区 哪怕是疫情相对没有那么严重 哪怕是决赛圈选手 但是依然是封控足不出户 那是不是也应该给予基本的物资？至今4.5，水电路191弄未收到任何物资，一点基础的蔬菜都没有，电话给居委会，说可以购买物资礼包80/份，买了两天没有人配送，昨天去居委会问情况，发现在登记配送的本子上标记已经配送，那 ​  展开c", 0, 评论,1,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,柳禾儿,"
                        52秒前
                        ",HUAWEI P20 Pro,"
                    最近有被上海奇装异服以及打扮精致排队做核酸的人们可爱到，如果我是医护人员，看到这些有意思的人心情会变好。最近发生的事情太多，但是大家不要忘记继续关注铁链女。#8孩女苦难坚强24年何日得真相##丰县生育八孩女子事件调查组成立##丰县生育八孩女子事件调查和处理情况# ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,ZZhen_Jul,"
                        53秒前
                        ",iPhone客户端,"
                    抢吃的的时候脑子里全是上海人民没有物资的画面 我是真的很怕自己被饿死…😰😰😰 2嘉兴 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,uoykik,"
                        55秒前
                        ",iPhone客户端,"
                    无意识去输入一个个城市 排列在前单词条不是什么新奇的趣闻和资讯 它们都被疫情绑架着 就像疫情之下我们的生活一样 死死被禁锢着 喘不过气#上海疫情# ​                ", 0, 1,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,非常不可爱的兔兔,"
                        57秒前
                        ",小米11,#上海买菜#买不到是一回事 捐赠的物资卖给我们都行 然而是放丢了都没人送 小区只有高价菜 那些赚国难钱的做梦也要笑醒了 2上海 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,心随_意动123,"
                        1分钟前
                        ",小米手机,#上海新增本土确诊268例无症状13086例#大量感染都是社区管理不善造成的 感染人员一定要公布出来 感染未感染人员一定要隔开  每户只让一个人出门  提前报备要什么菜 统一2.3天送一次菜 一个一个去门口领  不 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,温柔都留给爱我的人,"
                        1分钟前
                        ",iPhone客户端,#上海辟谣所有企业暂停生产与配送#疫情防控不易，为何还有这么多谣言的人呢，给社会添麻烦！造谣一张嘴，辟谣跑断腿！ 2北京 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,桃乐西在海边,"
                        1分钟前
                        ",iPhone,"
                    上海人的无情体现在：发物资只发给本地户口，不管外地租客死活，即使物资还是外地捐来的；发物资不发群租租客，理由是违法租房的别来给上海增加负担，即使房租都是上海本地人赚走的。 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,林听听听,"
                        1分钟前
                        ",长沙租房超话,"长沙租房
【个人转租】正规一室一厅厨卫转租，不是中介
【租金】1550元/月，押一付二，包物业费
【位置】林科大对面，雨花区上海城19栋33楼，电梯房，楼下是井坡子和林科大公交站，【其他】电费大概是0.6元/度，天然气灶台可以做饭哦，个人住或者朋友情侣都可以，房间挺大的。附近有大润发超市 ​ 展开c", 0, 1,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,甜面醤圆夢计划,"
                        1分钟前
                        ",iPhone客户端,"
                    怎样才可以买到猫砂猫粮啊？？五只猫要断猫砂了不该对上海如此乐观以至于没有囤货的物流没停运的话怎么六天物流没更新呢？外卖没停业的话怎么店家一直休息中呢？btw小区已经确诊10+保安大白们今天突然摆烂辞职现在只能靠志愿者用爱发电不愧是魔幻都市#上海卖菜# ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,BaePatty_mfm,"
                        1分钟前
                        ",iPhone客户端,"
                    很庆幸的是，身边的人比起“为什么是我为什么我这么倒霉我不支持这种政策”，更多的是在想为什么这种政策绝不可能得到最后的胜利。如果是出身上海的父母官，纵然掉脑袋，也不能背刺自己的人民。即使是拍桌拒不出席会议，也不能违背自己的良心去附和。因为无法看病的吃不上饭的是你的血亲。 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,金塔发布,"
                        1分钟前
                        ",新版微博 weibo.com,"
                    上海：单日最大核酸检测能力达400万管 全市共设置约2万个采样点O上海：单日最大核酸检测能力达400万管 全市共设置约2万个采样点 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,琪文琪字,"
                        1分钟前
                        ",HUAWEI Mate 40 Pro,#上海全域静态管理#我在B站看到整个上海全城静止的画面，伴随着BGM的呈现，不禁有些热泪盈眶。​有生之年里，能看到上海全域静止，是我们每个中国人想也想不到的事情。​而正是这一幕，坚定地表达着我国政府坚决贯彻坚决抗疫坚持动态清零的抗疫政策的执行力的体现。 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,刑动派,"
                        1分钟前
                        ",微博 weibo.com,"
                    发布了头条文章：《盈科上海刑事部辛本华律师受邀与信本所律师交流常见发票犯罪的辩护技巧》  O辛本华律师受邀与信本所律师交流常见发票犯罪的辩护技巧 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=2
上海,MeridaS糖糖,"
                        1分钟前
                        ",iPhone客户端,#上海新增本土确诊268例无症状13086例#朋友的小区马上也要发放物资了也是云南的！！真的是感谢！！感谢全国人民！！普通市民真的很难我都居家办公3周多了之前一直在2➕2➕2➕2➕2循环不知道什么时候才能上班副总理来了之后看到了曙光真的感恩国家 ​                , 0, 评论,1,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=3
上海,Winniyyn,"
                        1分钟前
                        ",nova4自拍极点全面屏,"
                    这两天通过团购囤了满满的一箱菜和速食前天也收到了政府发来的物资上一次吃达利园面包大概还是六年前把希望上海赶快好起来 ​                ", 0, 评论,1,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=3
上海,欧鲤鲤鲤鲤鲤鲤吖,"
                        1分钟前
                        ",iPhone客户端,#上海新增本土确诊268例无症状13086例#电视新闻里一切和谐美好，真的是这样的嘛？我们什么都不能说是吗？又没有抢到菜的一天，楼里有人确诊了，14天确认，可家里只还有最后两根一周前买的莴笋了呀 ​                , 0, 评论,1,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=3
上海,武汉新闻,"
                        1分钟前
                        ",iPhone客户端,#上海加油#【“上海已经是金银潭的一部分 所以我们来了”】“因为一个人爱上一座城，上海因为有钟鸣主任，有上海医疗队，所以我觉得上海是金银潭的一部分。”怀着这种心情，从武汉驰援上海的金银潭医院护士长程芳，用全身心地投入了上海的核酸采样工作。 L看看新闻正能量的微博视频 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=3
上海,可以吧先生,"
                        1分钟前
                        ",微博视频号,#上海疫情还在高位运行#大概意思是，上海措施非常好，本来可以居家两三个人隔离，怕无聊，拉去群体隔离，比较热闹。不孤单。 L可以吧先生的微博视频 ​                , 0, 评论,1,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=3
上海,陈泊秊,"
                        1分钟前
                        ",OPPO Find X2 Pro,"
                    在中国的几个超大城市里，要说市民追求自由，排第一的肯定是广州，这一点很多人根本不了解。广州自古就是世界著名的外贸商都，有上海之前（五口通商）也是中国少有的对外通商口岸，佛教传人中国有两条线，海上来第一站就是广州。远的不说，1978年改开之前，晚上12点还在外面宵夜的大陆直辖市、省会城市 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=3
上海,李同學乎,"
                        1分钟前
                        ",外挂器官iPhone 12 Pro Max(海蓝色),#上海疫情还在高位运行#感谢祖籍家乡的菜和不知哪里捐赠的药物，希望疫情早日过去。 ​                , 0, 评论,3,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7&page=3
