关键词,用户名,发布时间,来自,博文,转发数,评论数,收藏数,页面网址
上海,中国刘杰,"
                        今天14:25
                        ",微博视频号,#上海疫情# 网友：封控，居民也无法下楼扔垃圾。居委会赵主任一个人，收掉了整栋楼的垃圾（27层，两梯四户）。看着视频，又心疼又感动。 L中国刘杰的微博视频 ​                , 41, 46,232,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,未来网,"
                        今天08:20
                        ",微博视频号,"
                    【#上海一小区核酸完给居民发白菜#】4月7日，上海奉贤一小区内，居民们排队做完核酸后，工作人员给每人都发一颗白菜。网友们看后纷纷表示：“这样就对了，既督促下楼做核酸，又省得让大白爬楼梯”“这样好，既公平又省时间”。（视频：洪都瑞金）#上海新增本土确诊1015例无症状22609例# ​  展开c", 5508, 3537,99222,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,中国青年报,"
                        今天14:14
                        ",微博视频号,#直击上海疫情# 【守“沪”菜篮子！#浙江嘉兴60小时紧急建成援沪物资中转站# 即将投用】8日中午，浙江省援沪防疫生活物资平湖中转站正式建成，即将投入使用。该中转站占地面积近70亩，离上海亭枫高速（兴塔出口）处约1.5公里。中转站将确保浙江乃至全国援沪抗疫的生活物资，能快速安全源源不断送达上海 ​  展开c, 10, 12,80,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,元気蓄力時,"
                        3秒前
                        ",iPhone 13,"
                    上海这疫情管理真的很魔幻 每个部门打电话措辞不一样 互相踢皮球 乱的一塌糊涂 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,长春大队长,"
                        4秒前
                        ",微博视频号,"
                    【#上海最大方舱医院开始收治感染者# 首批6748个床位已交付】4月9日，国家会展中心（上海）方舱医院首批6748个床位交付。该方舱医院共设置12个舱，预计可提供5万张床位，是目前上海最大的方舱医院。其中中建三局承建的3号、4号馆由两个独立病区组成，包括16个护士站及相关配套用房。建设者们历经4天日 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,敦敏持敬,"
                        4秒前
                        ",新版微博 weibo.com,"
                    沪皖一家亲，同心共战疫。感谢上海安徽经济文化促进会，感谢宇培国际控股集团。向安徽省援沪医疗队表示崇高的敬意。#上海副市长哽咽发言# ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,绿色的紫色的亮黄色,"
                        7秒前
                        ",上海大学考研超话,上海大学考研美术学院艺术学理论过啦～有问题可以留言。 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,itA1k2th3rAin,"
                        10秒前
                        ",微博国际版,"
                    “上头是怎么想的让一个姓宗的人去上海当领导？” ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,廿鲕,"
                        11秒前
                        ",微博国际版,"
                    睡到昏天黑地直到被喇叭叫醒下来做核酸 下来做核酸现在也不想啥时候解封了这每日两万+的日增 地图上密密麻麻的红点不想成为那些每天只是吃饭睡觉骂上海的人只希望上海快点好起来用楼下看门志愿大叔的话说整个中国是一盘棋 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
上海,能猫学姐,"
                        13秒前
                        ",微博小程序,"
                    就离谱，没见过这么躺平摆烂的居委会，不告知阳性楼号，任居民不戴口罩在小区里走动，同一个街道其他小区发了四五批物资，它发一次就完事，拉个群，居民在里面出主意提建议吐槽也好，从来不回 #上海疫情 #洪泉居委会 #彭浦镇                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B5%B7
