关键词,用户名,发布时间,来自,博文,转发数,评论数,收藏数,页面网址
封闭管理,新华社,"
                        今天21:33
                        ",微博 weibo.com,"
                    【#沈阳全域纳入防范区及以上管理 #】沈阳市新冠肺炎疫情防控指挥部27日调整封控区、管控区、防范区。其中明确全市除封控区、管控区外，全部纳入防范区管理。防范区内划定购物区域，限制购物时间，实行错峰出门。  此外，封控区实行“区域封闭、足不出户、服务上门”。管控区实行“人不出小区（村屯） ​  展开c",203,461,1650,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,姬智女孩,"
                        03月26日 15:41
                        ",iPhone 12 Pro,"
                    我本来对不停的封闭管理居家隔离没啥感觉，觉得是人生的忙里偷闲，但在小区群里看到有人说“不是所有人都是在家办公都有钱拿的，再不出门都要交不起房租了”，突然有点难过 ​                ",12,32,652,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,学生有料,"
                        今天13:33
                        ",iPhone 11,"
                    有人签过吗#大理大学封闭管理# ​                ",16,29,315,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,像龙猫一样,"
                        1分钟前
                        ",nova6SE好看拍出来看,"
                    #合肥高校严格执行封闭管理#封校哪里不能去，然后我就按照有些小伙伴发的电话号码试着打过去，安徽省教育厅，这么晚都有人接（晚上有人值班）然后我就和他问他啥时候解封，为什么封校只封大学生，为啥食堂阿姨，教职工都可以自由出入，只有我们不行大学生活才四年，稍微有疫情就把我们学生封起来（ ​  展开c",0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,有琴舒歌,"
                        5分钟前
                        ",小米11,"
                    刚又看了看上海新的筛查方案，感觉是筛查区域全部都要以小区为单位进行封闭管理吗？这个貌似影响有点大呀。天津津南疫情的时候，全民大筛几次，除了封管防控区外，其他小区都是筛查时原地相对静止，筛查完自由活动，所以尽管外界感觉天津水深火热，实际上大家生活并没有太多不便。以上海这种赌气式管理 ​  展开c",0,2,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,shmily_夜微凉,"
                        8分钟前
                        ",HUAWEI P30,"
                    不敢说话，第一批的我们产品猝不及防#上海疫情##封闭管理##浦江镇# 2上海 ​                ",0, 评论,1,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,落日下的達芬奇,"
                        9分钟前
                        ",,"
                    #合肥高校严格执行封闭管理#能不能行了？？人快憋死了…上学还是坐大牢？！要封就大家一起，不想看小屁孩天天在学校里跑来跑去还有各种家属打疫苗插队 ​                ",0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,难般聊聊,"
                        23分钟前
                        ",三星S21 Ultra 5G,"
                    完了 我们楼有🐏了 关窗 关门 彻底死心 #封闭管理第10天# 2上海·龙柏地区 ​                ",0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,打开试卷先找gou,"
                        30分钟前
                        ",HUAWEI P40 Pro 5G,"
                    #河北疫情管理一刀切#简单的一刀切就是浪费防疫资源，请河北省教育厅不要再一刀切了，精准防控吧  ​​​#反对河北高校一刀切封闭管理# 2石家庄 ​                ",0, 评论,4,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,拿铁不甜嘛,"
                        49分钟前
                        ",iPhone客户端,"
                    又要封闭管理了。消息很突然。现在小区附近的超市很热闹，都在买菜，而且人挤人。甚至我同学头发都没吹干都跑出去了。我妈不放心公司，已经去公司准备住在里面了。家里人的手术大概又要拖了。这样的日子快结束吧。 ​                ",0,10,12,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
