关键词,用户名,发布时间,来自,博文,转发数,评论数,收藏数,页面网址
封闭管理,华商报,"
                        03月13日 19:17
                        ",微博 weibo.com,"
                    【#深圳全市封闭管理#  公交、地铁停运   社区小区、城中村实行封闭式管理】2022年3月13日，深圳市新型冠状病毒肺炎疫情防控指挥部发布消息称：根据疫情防控形势，为有效管控疫情传播扩散风险，切实保障广大人民群众生命安全和身体健康，市疫情防控指挥部决定，在全市范围内开展三轮全员核酸检测。现将 ​  展开c", 48, 68,356,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,江苏新闻,"
                        03月22日 17:22
                        ",微博视频号,"
                    【#南京江宁对近500家建筑工地实施封闭管理#】#3月22日南京疫情防控发布会#介绍：在建筑工地方面，南京江宁区对近500家建筑工地实施封闭管理，所有工地原则上不安排新进工作人员。在常规核酸检测间隔期，采用抗原检测作为补充手段，进一步提高建筑工地排查筛查率。#南京江宁区开发抵宁人员报备小程序#  ​  展开c", 8, 26,87,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,人民网,"
                        03月22日 08:18
                        ",微博 weibo.com,"
                    【#沈阳全市小区封闭管理#】3月22日起，沈阳全市住宅小区、村屯实行封闭式管理，居民进出需持48小时内核酸检测阴性证明及《居民出入通行证》，严禁未按要求参加核酸检测人员进入小区。（人民网辽宁频道）O3月22日起沈阳全市住宅小区、村屯实行封闭式管理 ​                ", 447, 1714,12034,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,嘿A哥,50秒前 转赞人数超过20,iPhone客户端,"
                    当学校一致地把学生当成危险源，设置重重关卡阻拦学生的诉求时，他们就已经把未来输了。#珠海疫情# #珠海多所高校强制封闭管理# #珠海封校#", 0, 评论,22,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,阳熙娴,"
                        51秒前
                        ",iPhone客户端,"
                    集团的封闭式管理什么时候可以结束，想回家和外出放松啦…… ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,荷兰甜甜甜,3分钟前 转赞人数超过50,微博 weibo.com,"
                    我今天心情其实还不错，昨天休息了一天，吃泡腾片和维生素，睡前又吃了点安眠药，今天起来精神好多了。外加4/1到了，这几天浦西封闭管理，车不能上道人不能出社区，菜肉蛋奶想买也买不了（该囤也囤了，我家现在有120个虫草鸡蛋…………），彻底死心，所有微信群都很安静，撸袖子专心工作（。 ​                ", 0, 8,55,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,MyRadio,"
                        2分钟前
                        ",微博视频号,"
                    【#河南部分高校明确清明不放假不调休#】近日，包括河南大学、河南工业大学等在内的省内部分高校发布通知，明确清明假期将至，高校除继续封闭管理外，清明不放假，不调休。部分高校4月起，周六正常上班上课，暑假相应提前。L河南新闻广播的微博视频 @河南新闻广播 ​                ", 0, 评论,1,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,警民直通车-上海,"
                        4分钟前
                        ",微博视频号,#我为群众办实事#【连寻三小时 警民携手快递堆里找“救命药” 】“范警官，实在太感谢你了！”近日，闵行公安分局华坪路派出所民警范旦初收到辖区居民王先生求助，由于封闭式管理，孩子急需服用的药品包裹无法无法派送。55岁的民警立即赶往快递站，与工作人员一起翻找3个多小时最终找到了药品，马不停 ​  展开c, 0, 评论,1,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,一只胡巴儿,"
                        5分钟前
                        ",HUAWEI P40 Pro 5G,"
                    城南街道你什么意思啊啊啊啊啊四周都是阳性我们小区被包抄了的时候！！你不封小区只封卡口！！！现在卡口都开了 彻底把我们小区给封闭管理起来了这到底是干什么呀 ​​​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,为什么叫我老六,"
                        6分钟前
                        ",小米Note 3 拍人更美,"
                    其实学生被封在学校里最好的办法就是半个月给他们换个学校换个环境继续封闭管理这样学生也传染不了还解决了学生的心里问题最大的问题就是这根本实现不了 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,紫坑坑,"
                        7分钟前
                        ",微博 weibo.com,"
                    是没有人手做出入口封闭管理了所以焊门吗，万一火灾怎么办？？？                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,河南新闻广播,"
                        8分钟前
                        ",微博视频号,"
                    【下一站，上岸！】考研复试陆续进行中，多所高校明确复试以线上为主，复试过程中统一设置“双机位”。考生需准备2台电子设备，选择固定机位进行拍摄，同时需保证网络信号畅通。在校园封闭管理的情况下，为帮助同学们顺利考试，河南多所高校召开研究生复试指导专题会、为学生安排专属复试会议室...... ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,Gmmww,"
                        9分钟前
                        ",iPhone客户端,#珠海封校##珠海疫情##教育部反对高校一刀切封闭管理##珠三角多所高校现状# 拜托了求求多长几个心眼吧 疫情管理政策一团糟 未返校学生无星无风险地区回不去 学校里学生出不来 教职工却健康码异常 没有一个大学生不愿意返校上学 也没有一个大学生不愿意遵守政策措施 但无效的措施只会引起民愤 ​                , 0, 2,4,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,高校有料,"
                        9分钟前
                        ",,"#郑州大学发布清明放假通知#及清明节前后疫情防控工作的通知：清明节期间校园实行封闭式管理，校外无关人员严禁入校；师生员工进入校园严格落实刷脸（扫码）、测温、戴口罩。
根据上级通知精神，结合学校实际，现将2022年清明节放假安排有关事宜通知如下：清明节（4月5日）放假1天，不再安排调课、调休 ​ 展开c", 0, 评论,1,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,Bonnie吧唧,10分钟前 转赞人数超过20,HUAWEI Mate 20 Pro,#广州高校封校管理现状##广东第二师范学院封闭管理# 感觉不少学校都陆续解封了，看看哪些学校要挺近决赛圈丢脸，是吧广二师？ ​                , 0, 4,29,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,MissDoraS,11分钟前 转赞人数超过30,iPhone客户端,"
                    疫情宅家｜完美复刻麦当劳yyds猪柳蛋麦满芬Egg and Sausage Muffin 今天上海正式展开浦西第二轮封闭式管理，前几天大家忙着各种囤菜感觉比过年还热闹忙碌。希望大家平平安安的度过这段日子，也辛苦了在小区值班的所有保安，保洁和自愿者，大家加油！中午为家人做了复刻麦当劳yyds猪柳蛋麦满分 egg  ​  展开c", 2, 6,34,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,冬妮zi,"
                        11分钟前
                        ",河南城建学院超话,"河南城建学院河南城建学院
对学生负责性的管理，不仅仅只是学生感觉被束缚，学校的管理难度也大呀，学校可以不封校管理，那样更简单，可是威胁的是咱们的生命！ ​
自疫情以来，学校只针对学生来封闭式管理，个人觉得很不是最好的办法，对于大学生而言这样过着高中的生活确实很难受。 ​ 展开c", 0, 2,1,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,失心什么时候才能上场,12分钟前 转赞人数超过20,iPhone客户端,#西安交通工程学院#@陕西省教育厅 #西安疫情##教育部反对高校一刀切封闭管理# 西安交通工程学院这么牛逼的吗 户县两个一本都解封就西交院封学生一个多月还是不让出 属实拳打西建大脚踢石油大了@央视新闻 @人民日报 ​                , 0, 评论,28,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,hz白白和奶豆喔_,"
                        12分钟前
                        ",hz🧊iPhone 13 Pro Max,"#沈阳疫情#就是很不理解，我们小区封了一周多了，每次都是全阴性，保安都不穿防护服了，还要天天做核酸………
物业人员都住在小区里封闭管理了，但是来的医护人员和志愿者呢？他们每天去几个小区呢？他们之前几天又去过什么地方呢？他们是不是比我们更危险呢？（没有说他们不好的意思，我知道他们很辛 ​ 展开c", 0, 4,4,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,_我们一起出去玩啊好不好,"
                        14分钟前
                        ",,"
                    即使看到拟录取好像也没有那么多惊喜。选学校时就选了一个很稳的学校。再加上初试在隔离，复试在隔离。即使是复习的那段时间也时不时的在封闭管理。大悲大喜已过，好像心态早已经波澜不惊了。在一起复习的小伙伴一个想留在南京的结果考公去了苏州，一个想去北大的结果被卡了单科线去了影视公司，还有 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,用户6413573189,"
                        15分钟前
                        ",iPhone客户端,#珠海封校# 封了两周，封出老师是密接，对内声称封闭式管理，对外就会说是围合式管理，结果还是只封着学生。什么时候校门开放一条人道主义走廊，可以让学生也出去一下 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,潇湘晨报,17分钟前 转赞人数超过30,iPhone 11,"
                    【长沙市天心区关于划定疫情防控封控区、管控区、防范区范围的通告】根据疫情防控的需要，经专家评估，天心区划定封控区、管控区、防范区如下：封控区：金桂小区C区23栋，严格实行“区域封闭、足不出户、服务上门”管理措施，人员实行集中隔离或居家隔离医学观察。管控区：金桂小区C区23栋、25栋合围 ​  展开c", 2, 3,33,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,广州校园,18分钟前 转赞人数超过100,在努力的Android,#华南农业大学封校##华农清明假期安排#接投稿:清明假期对校门进行封闭管理，但是校外非学生人员可以进入校园订餐，疑似进出华农自由？这种防疫措施你怎么看（图源投稿&网络）#广东校园爆料#欢迎加入 广东高校那些事讨论～ ​                , 10, 14,230,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86
封闭管理,高台县融媒体中心,"
                        18分钟前
                        ",新版微博 weibo.com,"
                    【高台县民政局：三举措全力抓好养老机构疫情防控】为强化养老服务机构疫情防控，坚决筑牢养老服务安全管理底线红线，高台县民政局多措并举切实抓好各项防疫举措。严格实施封闭管理。对全县养老机构在院老人实施封闭管理，做到“三个一律”，探视一律取消，请假一律停止，进出一律拒绝，严格执行24小 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,大河网,"
                        19分钟前
                        ",iPhone客户端,"
                    【#新郑市部分区域实行分类管理#】 #郑州新郑多地实行封控区管理#4月1日郑州市发布55号通告，对新郑市部分区域实行分类管理。一、对以下区域实行封控区管理对郭店镇崔府村、汇川物流园、乾龙物流园实行封控区管理。封控区内全体人员郑州健康码赋红码，实行“区域封闭、足不出户、服务上门”管理措施 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,唐山海鹏哥,"
                        19分钟前
                        ",HarmonyOS设备,"
                    剛知道，當志願者還是一件危險的職業，我們小區全封閉管理，執行的是“裡不出，外不進，內不動”的防疫政策，我負責看管小區東門，不讓裏外傳遞物品，防止病毒流入，但是有些拿著通行證的人給裡面的人送下酒菜，我告知不讓傳遞，裡面的人瞪眼要打人，外面的問我家是哪兒的，這把我嚇得，我懇請您等解封 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,930老友记,"
                        19分钟前
                        ",微博视频号,"
                    【#网传南宁一墓园有新冠阳性患者暂停扫墓不实#】4月1日，网传南宁市青龙岗长安墓园出现新冠肺炎阳性患者，墓园实施封闭管理，暂停扫墓。记者获悉，网传消息不实，墓园在“三码”联查时发现一名健康码异常人员，已按要求启动应急预案管理，现场祭扫仍在正常开展，但需要预约、错峰、控时进行。 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,宿迁之声,"
                        20分钟前
                        ",微博视频号,#宿迁快讯#4月1时起，宿迁中心城区实施静态管理，各住宅小区（村庄）实行封闭式管理。 L宿迁之声的微博视频 ​                , 0, 3,2,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
