关键词,用户名,发布时间,来自,博文,转发数,评论数,收藏数,页面网址
清零,生命时报,"
                        04月08日 22:22
                        ",微博视频号,"
                    【#为什么我国要坚持动态清零#？】近日以来，多地疫情防控形势严峻复杂。推广“抗原筛查、核酸诊断”的监测模式、紧盯传播链条、及时进行流调溯源……在与病毒较量的战役中，“动态清零”是认真总结这两年多来经验教训的基础上提出的防控做法，历经实践的反复检验。面对疫情，我国为何不能学西方“躺平 ​  展开c", 92, 51,316,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,共青团中央,"
                        04月08日 17:45
                        ",新版微博 weibo.com,"
                    清零！#吉林市已实现社会面清零# ​​​                ", 473, 492,3350,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,央视网,"
                        今天12:18
                        ",微博 weibo.com,#央视快评论动态清零#【#动态清零是真正的以人为本#】“动态清零”是基于我国现实国情的科学之策。我们拥有14亿多人口，其中60岁及以上人口达2.67亿，少儿人口超过2.5亿，二者相加超过5亿。面对如此超大规模的人口基数和数量庞大的“一老一小”群体，只有坚持“动态清零”，主动出击、从严管控，才能从 ​  展开c, 81, 98,322,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,李狗蛋-Apr,"
                        28秒前
                        ",iPhone客户端,#上海疫情# 我无力吐槽……这样下去，阴性要清零了疯狂叫下来核酸，大家都蹭在一起～早上自测+这晚上核酸～是在赶进度吗[抠鼻][抠鼻][抠鼻] 2上海 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,张宁心情不太好,"
                        1分钟前
                        ",HUAWEI Mate 30 5G,"
                    炸茄盒，还好手艺还在，再封一个月，估计也就会清水煮面条了，社会面清零在望，4月18号应该可以有条件的解封，要能提前那就更美好了 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,神勇小白兎,3分钟前 转赞人数超过20,iPhone 13 Pro Max,#中国当前不适用完全开放#“完全开放是不适用的，动态清零是可取的，但要进行逐步开放的政策”。逐步开放，这是怎么个流程和进度，有没有高人能解释一下？目前中国新冠疫苗的全程接种率已经达到了87%，跟这个数字有关系吗？达到多大比例之后可以逐步开放？现在的状况应该说是完全没开放吧。 ​                , 0, 8,22,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,SUNGHOON_Park17,3分钟前 转赞人数超过10,iPad air,#深圳开学#一开始说清零14天才开学 现在是一边出案例一边开学 我真的是服了 ​                , 0, 评论,19,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,不吃草的菜青虫,"
                        3分钟前
                        ",OnePlus 9R,#读书打卡# day936《月光落在左手上》—请原谅，我还在写诗“ 我的诗歌只是为了取悦我自己，与你无关”；烤苕皮和广仁寺都安排上了，抛开雪姨要的读书会PPT和课题初稿，清单上关于自己的小心愿要清零啦，山不向我来，我便向山去，不得不说，取悦自己也是一门学问@饭可别是糊了吧 ​​​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,白齐i,4分钟前 转赞人数超过50,小米10,#无锡地铁#无锡的高层要是被分配到上海，估计早清零了🙏🙏🙏快去支援一下吧 ​                , 0, 2,51,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,睿法,"
                        3分钟前
                        ",iPhone客户端,"
                    刚回国对国内防疫也是非常不看好，觉得限制了“自由”，但是如果对自己和他人的义务也是必须要遵守的，随心所欲也是要在不给他人添麻烦的基础上。虽然现在共存和清零的声音都有，也能理解各自发声的立场，但是还是希望能解决生活问题的基础上，最重要的还是尽人事才听天命 ​​​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,mana两仪,"
                        3分钟前
                        ",iPhone客户端,#张文宏说这一波奥密克戎袭击很快很猛#都看话只看第一句嘛？不看后面内容？这明显是撤下后，推出来站队动态清零的啊，属于zz表态。稿子都不一定是自己写的。每一波专家表态他俩都是一前一后，作用都是专家角度背书。至于之前的发言？最好查查最小代价是谁最先提出的。 ​                , 0, 评论,2,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,财新网,4分钟前 转赞人数超过30,新版微博 weibo.com,"
                    【张文宏：与奥密克戎作战，要重视动态清零的系统性建设】作为医疗救治专家组专家，在这波疫情中，我尤其关注对脆弱人群的保护。我们专家组专家和各个隔离救治点专家在每天的全市联合在线查房中，反复关注的重点就是对脆弱人群的保护。有基础疾病、未接种疫苗的高龄老人，始终是疫情中最脆弱的一个群体 ​  展开c", 11, 17,45,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,Ly----nnn,"
                        3分钟前
                        ",iPhone客户端,"
                    一次次阴性 一次次核酸 这是为了把🐑还是把阴清零 脑子呢？纳的税全用来吃💩了吧 这连续的增长有多少是因为聚集核酸感染上的 始终不优化 真的不是蠢就是坏 @上海发布 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,南海网,5分钟前 转赞人数超过20,微博视频号,"
                    【海口实现社会面动态清零】4月9日下午，记者从海口市新型冠状病毒肺炎疫情防控新闻发布会获悉，截至4月9日17时，海口市已有3天没有收到本土新增阳性感染者情况报告，实现了社会面动态清零的目标，全市疫情形势趋于向好。3月29日至4月9日15时，全市累计报告确诊病例(轻型)10例，无症状感染者4例，经治 ​  展开c", 10, 14,23,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,魔幻现实主义摸鱼大师,"
                        4分钟前
                        ",iPhone 12 Pro Max,"
                    实话实说，我觉得左右为难。我一直主张“用正确的方法，做正确的事”，我认为动态清零正确，但是我对科学执行没有信心。要么过度防疫（比如我妈妈所在的城市，一个行政区有一个确诊，整个区所有人禁足），要么消极防疫（比如上海的这次），直到现在都没有很体系化地解决民生问题，仍有层出不穷的次生 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,念父,"
                        5分钟前
                        ",,#上海何时解封# 【#海口实现社会面动态清零##海口4月11日复课# 】4月9日，海口市召开新冠肺炎疫情防控工作新闻发布会介绍，截至目前，海口已连续3天没有收到本土新增阳性感染者情况报告，实现了社会面动态清零的目标，全市疫情形势趋于向好。海口市政府秘书长陈建军介绍，3月29日至4月9日15时，海口累 ​  展开c, 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,星河不晦,"
                        5分钟前
                        ",可口的披萨美味的披萨超话,可口的披萨美味的披萨提问 我玩了76天才发现自己没有注册…现在注册会把我的数据清零嘛 ​                , 0, 5,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,耶鲁lllll,"
                        6分钟前
                        ",iPad客户端,"
                    还不解封  这p学不想再上了 祝hkd商圈早点倒闭 圈nm的💰湘潭清零大半个月了吧  长沙湖大都解封 hkd凭什么还把学生封着？学生是猪是狗是羊 想关到什么时候就关到什么时候吗？把学生全部关在学校里当冤大头 方便你严重溢价的校园商业街狠狠赚钱？是不是别人不发火就把人当傻子啊！！！我真的生气了? ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,风闻社区,7分钟前 转赞人数超过4000,360安全浏览器,"
                    张文宏最新发声：动态清零政策与鼓励疫苗加强接种策略，都是国家高度重视并加强对脆弱人群的保护。有了前期努力建立的疫苗屏障，目前看效果是明显的，上海这一次，大家关注到，极低的重症率，可以说与此有很大关系，打过疫苗的年轻人几乎不会发生重症。但是，脆弱人群，特别是有基础疾病，没有打过疫 ​  展开c", 814, 391,3915,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,枝無葉,7分钟前 转赞人数超过80,HUAWEI P30 Pro,"#上海副市长哽咽发言#
这个破热搜挂一天了！我就想说你还有脸哭？要不是你们阳奉阴违消极抗疫不认真执行国家的动态清零政策上海的疫情能泛滥至此吗？

每天新增上万都需要举国之力去救你了还不设高风险区持续给各地输送小阳人想拉全国一起沦陷请问你是故意的还是有意的？？

每天新增两万无症状是都做 ​ 展开c", 3, 评论,90,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,封面新闻,8分钟前 转赞人数超过200,微博视频号,"
                    【钟南山：#中国当前不适用完全开放#，开放要逐步进行】4月8日下午，钟南山院士为南开大学进行主题为《科学指导抗疫，勇攀医学高峰》的远程授课，对目前疫情形势进行了最新研判。他认为，中国当前形势下，“完全开放是不适用的，动态清零是可取的，但要进行逐步开放的政策”，他还提出，根据我国“动态 ​  展开c", 14, 62,207,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,中国新闻网,8分钟前 转赞人数超过2万,微博 weibo.com,"
                    【#张文宏说这一波奥密克戎袭击很快很猛#】#上海战疫录# 针对当前的疫情形势，复旦大学附属华山医院感染科主任@张文宏医生 4月9日表示，“这一波奥密克戎袭击来的很快很猛，对医疗体系造成了冲击，特别是正常的医疗秩序受到了冲击。尽快实现动态清零，有助于尽早恢复正常的医疗秩序，让各类病人特别是 ​  展开c", 1399, 3578,22055,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,吉林共青团,"
                        7分钟前
                        ",,"
                    【长春市实施分区分级差异化防控】对公主岭、榆树、农安、德惠、九台、双阳、汽开、中韩、莲花山9个先行清零的县（市）区、开发区，调整目前提级管控措施，除重点区域外按防范区管理；朝阳、二道、新区、净月4个区、开发区，在做好区域人员流动管控情况下，按照封控区、管控区和防范区要求进行分类分级 ​  展开c", 0, 评论,2,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6
清零,直播上海,9分钟前 转赞人数超过50,微博视频号,"
                    上海市民如此配合，但是到了方舱进不去，一个晚上就在转运车上折腾，这样没吃没喝没*的，真要闹出人命来的。协调没做好就不要把病人从家里拉出来啊，如此折腾居民的抵抗力肯定会变弱，不利于抗疫清零。 L直播上海的微博视频 ​                ", 28, 26,41,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6&page=2
清零,正宗啥都没了,9分钟前 转赞人数超过100,微博国际版,"
                    我们的清零红利还能维持多久呢？照奥米克戎这种闹法，我看不会太久了。经济活动最怕扰乱，质量管理的核心就是稳定性管理，一会儿封控了，一会儿停了，经济肯定是搞不好的。外贸那边，这两年我们的供应链稳定，所以老客户都在中国下单。但是随着外围的开放，中国现在变成了不稳定的供应者，与客户也无 ​  展开c", 12, 25,161,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6&page=2
清零,司马南,9分钟前 转赞人数超过5400;,今天 15:01,"
                    【司马南：关于上海疫情的七条意见！】事已至此，上海疫情严重到这种程度了，且发生多省市外溢，为什么还要坚持动态清零？动态清零的工作负担有多重谁的心里都明白，民生、就业、企业生产、城市运行、次生灾害等等一连串的问题批量涌现，这个时候坚持动态清零，相当于把一个巨大的包袱背在身上，为什么 ​  展开c", 634, 1163,5299,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6&page=2
清零,xiaoye040704,"
                        9分钟前
                        ",OPPO Reno5 Pro 5G,"
                    人比人...我们的动态清零，让那些羡慕嫉妒恨！我们的冬奥会，让那些个羡慕嫉妒恨！我们从胜利走向胜利，它们更恨得咬牙切齿了！有黑就有白，世界不可能是全黑的！“都是上帝安排的。” ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6&page=2
清零,九张鸡_,"
                        10分钟前
                        ",🦁iPhone,"
                    看过不下130条谈清零反科学防疫的微博下面一定要加一句乌克兰，总之就是预设了一个前提但凡海外IP的人都不会安好心，我真不知道这种基于狭隘民族主义的言论有什么好听的？看都懒得看 ​                ", 0, 评论,1,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6&page=2
清零,voyage贾贾Jiajia,11分钟前 转赞人数超过10,iPhone,"
                    真的不懂：就连高中（全国数一数二的高中哦）群里，居然还有很多质疑疫苗相信新冠后遗症以父母孩子之名支持老一套严格清零措施就连提倡清零同时应该为未来共存做准备的建议也要被认为是不符合国情的年轻人？？？口口声声指责别人想共存就是自私不顾老弱病残的安危？？？但最近上海感染官方数据出 ​  展开c", 1, 12,10,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6&page=2
清零,猪猪泡汀,"
                        10分钟前
                        ",坐牢小猪的iPhone 11(White),"
                    嗯。我校可能要禁外卖。在此我对所有爆发病例的监管不力的城市与高校致以最深切的鄙视，痛恨，还有祝福。拜托你们，快点清零，我凭什么遭受这种无妄之灾啊。因为一个废物学校出问题省内所有高校全部倒霉。 ​                ", 0, 4,0,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6&page=2
清零,李小粥的茶水间,12分钟前 转赞人数超过30,微博 weibo.com,"#张文宏说这一波奥密克戎袭击很快很猛# 张文宏4月9日的表态中，反复提及“清零”：
“动态清零与鼓励疫苗加强接种，都是高度重视并加强对脆弱人群的保护”

“ 当下任务是尽快遏制疫情蔓延，实现社会面清零，”

“ 抗疫的第一阶段，取得了举世瞩目的成绩”
“第二阶段来临，无症状量大、隐匿性强，清 ​ 展开c", 4, 9,41,https://s.weibo.com/weibo?q=%E6%B8%85%E9%9B%B6&page=2
