关键词,用户名,发布时间,来自,博文,转发数,评论数,收藏数,页面网址
疫情,济南时报,"
                        04月01日 17:24
                        ",微博视频号,"
                    【#上海市民一大早被通知下楼领物资# ：“内心很温暖，谢谢山东人！”】#上海发菜#近日，上海疫情防控压力较大。为保障城市居民生活需要，山东一辆辆满载蔬菜的卡车运向上海抗疫一线。 3月31日，上海网友在社交平台发布的小区居民下楼领取山东物资的视频引发关注，新黄河记者辗转联系到视频拍摄者陆女 ​  展开c", 1594, 15237,125653,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,人民网,"
                        04月02日 16:00
                        ",微博 weibo.com,#平凡英雄# 一代人有一代人的长征，#愿疫情快快退散#。（图@-TKSS- ） ​                , 4281, 1322,66801,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,师永刚,"
                        04月02日 18:54
                        ",师永刚的小店,"
                    疫情期间人们的脾气越来越大。被隔离的人最厉害的武器：我马上发微博，发抖音，发微信....有用吗！..#武汉疫情##专家称上海这次疫情规模比武汉大# 蒋介石画传+宋美龄画传 世纪大藏（套装共2册） L师永刚的微博视频 ​                ", 365, 326,3790,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,抒格拉很有底,"
                        2秒前
                        ",HUAWEI Mate 40 Pro,"
                    风口浪尖上，从采访到市民录音，依然有专业人士愿意并敢于发出不同的声音，作为外行无法评判观点政策本身，但医者敢言的良心就是疫情面前民众的幸运。『汪诘不吐不快：面对疫情，上海人真正怕的是什么？（附上海疾控专家采访录音）』O汪诘不吐不快：面对疫情，上海人真正怕的是什么？（附上海疾控专家采访录音） ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,海南青少频道,"
                        2秒前
                        ",新版微博 weibo.com,"
                    【海口这些地方今早九点开展区域核酸检测】为防止疫情外溢，经对我市新增病例活动轨迹分析，市疫情防控指挥部决定于4月3日选取有关镇街的部分小区开展区域核酸检测工作，排查风险隐患，切实保障广大人民群众生命安全和身体健康。采样点位所在街道及部分社区见下图。（来源：海口市新型冠状病毒肺炎疫情 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,宇慧hui,"
                        5秒前
                        ",OPPO Reno,#周柯宇 二十筑梦寰宇乘风##周柯宇开始推理吧# (´▽`ʃ♡ƪ)在等一个浪漫的春天，希望这个就是🌼希望如期而至的不只春天🌸还有疫情过后平安的所有人👫——🌿 (ง •̀o•́)ง (ง •̀o•́)ง🌿——@INTO1-周柯宇 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,铜仁发布,"
                        5秒前
                        ",360安全浏览器,"
                    【保安全！铁警全天在线！】#网络中国节·清明# 清明假期临近，沪昆高铁贵州铜仁南站迎来短程客流高峰期，成都铁路公安局贵阳公安处铜仁南车站派出所加大警力投入，深入候车室、站台、出站口以及铁路沿线开展治安巡查，对旅客进行疫情防控监督、接受列车信息咨询、协助搬运行李等服务，切实保障铁路运输 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,攀枝花消防,"
                        8秒前
                        ",360安全浏览器,"
                    【疫情防控小贴士】抗击疫情不松懈，良好习惯要坚持，这张疫情防控小贴士请大家收好学习~#江苏已调派5000余名医务人员支援上海# ​​​ ​​​​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,清谈语嘉,"
                        11秒前
                        ",iPhone 12 mini,#网络中国节·清明# 在这风和日丽的日子，因为疫情被阻在回乡的路上，那就和牛云云一起线上祭扫吧，看图装作我吃过青团、踏过青了 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,散户的认知过程,"
                        13秒前
                        ",荣耀20,"
                    油价上升加上疫情，运输业挣不到钱，有一部分司机停了，这样会使物价快速上升，因为供给失衡。 2深圳 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,北京通州大峰,"
                        14秒前
                        ",新版微博 weibo.com,"
                    一周内6次列车现阳性感染者:涉疫列车都曾经过上海 3列从上海始发#上海疫情#（健康时报 任璇）据健康时报不完全统计，近一周内福建、江苏、浙江和河南四省多地报告发现阳性感染者，涉及D2282、D3205、D3201、D3141、G7591和G3174次列车，其中3个从上海始发。一周内6次列车多个沿途站点发现阳性感染 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,李蓉20000,"
                        15秒前
                        ",iPhone客户端,"
                    【成都市卫健委发布重要提示：清明节假期这样做好疫情防控】#成都疫情#清明节假期将至，为坚决防止疫情输入和反弹，保障您和家人、朋友的身体健康，避免人员聚集造成疫情传播扩散，切实巩固来之不易的防控成果，成都市卫健委发布了清明节疫情防控重要提示。 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,MD12莫道壹贰,"
                        16秒前
                        ",iPhone客户端,"
                    早上发现昨晚在网上热搜的居民投诉健康云电话录音基本被和谐了，这条录音发出时间是昨天中午吧，这件事情如果处理不好，势必造成zf公信力下降。不知道昨晚的电话采访那位疾控中心专家领导朱渭萍，是否今天会被组织惩戒，工作和仕途会否受到影响。疫情需要开放透明的政策，让老百姓知道为这么这么做， ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,火山小树,"
                        17秒前
                        ",微博视频号,#交警将自己的盒饭递给拾荒老人吃# 近日，江西南昌，一位拾荒老人来到防控卡点问路：“交警，我怎么进入防控区”……天色已晚，交警担心老人没有饭吃，将自己晚上的盒饭递给拾荒老人吃 老人：我只吃了米饭和蔬菜，肉留给你吃。#疫情下的中国温度# L江西这点事的微博视频 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,所以还是认真喜欢巴卫吧,"
                        19秒前
                        ",OPPO Reno7 5G,#太原疫情#  太原有疫情严格防控多么正常的一件事，跟太原经济行不行有什么关系，出现疫情了大家都很难过，为什么总有人来贩剑，山西每次在防疫这方面都非常重视，总能遏制源头渡过难关，有些人到底心里有多阴暗，才只能看到这些，山西从来不求别的，自己默默发展，别人有需要就帮忙，捐物资捐钱一样没 ​  展开c, 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,福建东南网,"
                        23秒前
                        ",K30 至尊纪念版,#上海4月3日全市进行抗原检测#【#上海4月4日全市核酸检测#】3日上午举行的上海市疫情防控工作新闻发布会上透露，根据前期核酸筛查的情况，上海决定今天在全市进行一次抗原检测，明天在全市进行核酸检测。（央视新闻） ​ 2福州 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,蓝色玩纸,"
                        22秒前
                        ",Redmi 10X 全芯超越,"#2022年4月3日广东省新冠肺炎疫情情况#

4月2日0-24时，全省新增本土确诊病例2例（其中1例为无症状感染者转确诊），广州报告1例，肇庆报告1例；

新增本土无症状感染者8例，深圳报告1例，东莞报告5例，揭阳报告2例。

全省新增境外输入确诊病例10例，广州报告1例，来自日本；湛江报告1例，来自越南；深 ​ 展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,不负遇见肖战Daytoy,"
                        26秒前
                        ",肖战超话,"#肖战公益一路有你# xz #肖战正能量艺人#
携梦同行，助梦成真

三十城圆梦公益地图合肥接力点亮！

自疫情爆发以来，有那么一群逆行者负重前行，为我们保驾护航。每一位医务工作者都是值得尊敬的人，致敬医务工作者，以及所有为抗疫做出努力奋斗的人！

9月24日，肖战粉丝小飞侠来到合肥市某医院 ​ 展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,_QiHhannnn,"
                        27秒前
                        ",私人订制新浪微博鸿蒙版,"
                    去年今日我在青岛 如果不是因为疫情 今天按计划我也在旅行的路上 等疫情过去了 要把欠下的风景都补回来（先放旧照怀念一下 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,富平交警大队,"
                        30秒前
                        ",iPhone客户端,#节日我在岗# 4月3日，富平县交警大队副大队长加飞，秩序中队中队长严智分别来到城区二中队辖区高速路口疫情防控点、频山大道疫情防控点、环城东路治安检查站、频山大道治安检查站、中华郡景区开展督导检查。提出相关要求，要求严格落实防疫工作，持续加强防疫防控，并全面做好清明节假期辖区道路交通 ​  展开c, 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,啊轩辕剑,"
                        32秒前
                        ",iPhone客户端,"
                    一堆垃圾回港，明知有疫情、有溶斷機制，自己選擇離港，溶斷了就反而怪政府說什麼「勞民傷財」，他們知道社會很多聲音反對復飛嗎？他們回來有可能引發新一輪疫情才是勞民傷財。 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,灵猫同学,40秒前 转赞人数超过10,iPhone 12 Pro Max,"
                    我成天说我爱豆在家抠脚其实我才是那个在家抠脚的小丑竟是我自己疫情啥时候结束啊…遥遥无期看不到边 ​                ", 0, 评论,10,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,正位凝心,"
                        44秒前
                        ",HUAWEI Mate 10,"
                    4月3日，疫情中的泰山脚下记者村小区。邻居老刘哥夫妇给我们他们种的香菜苔菜香葱菠菜等，谢谢了🙏🙏🙏 2泰安 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85&page=2
疫情,糖老板最爱的奶茶,"
                        44秒前
                        ",唐嫣超话,#浪姐3姐姐们基本情况##向全世界安利唐嫣# 一切以工作室行程为准，非官宣不约！非官宣不约！！非官宣不约！！！糖糖抗疫加油，保护好自己和家人。我们期待上海及所有地方疫情早点结束，安安静静等着你健康平安的出关。静待花🌸开。@唐嫣 疫情期间也提醒大家：戴口罩，勤洗手。 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85&page=2
疫情,漂亮虎咚咚,50秒前 转赞人数超过50,,"
                    出门戴上口罩会赋予“安全感”。小孩子们玩起“测核酸”的游戏。隔离封校缺失的毕业照。两年多下来，疫情不再是一个词汇，它潜移默化地影响每一个角落，变得具体，发展成一代人的印记。 ​                ", 10, 3,57,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85&page=2
疫情,遂宁河东,"
                        49秒前
                        ",新版微博 weibo.com,"
                    广而告之｜遂宁新增2例本土新冠肺炎确诊病例（均为轻型）O网页链接遂宁市新型冠状病毒肺炎疫情最新情况（4月3日发布）4月2日0时至24时，我市新增2例本土新冠肺炎确诊病例（均为轻型）。截至4月2日24时，本轮疫情发生以来，全市累计报告新冠肺炎确诊病例3例（2例轻型，1例普通型）， ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85&page=2
疫情,法治枣庄,"
                        50秒前
                        ",荣耀V20 4800万3D相机,"#枣庄抗疫日记# 【枣庄市致全市广大网民的疫情防控倡议书】#枣庄抗疫在行动# 致全市广大网民朋友：
　当前，我市疫情形势十分复杂严峻，疫情防控一刻也不能放松，必须做好“外防输入、内防反弹”各项防控措施的落实。疫情防控，人人有责！为有效防止涉疫情负面信息传播，守“网”相助、共同战“疫”， ​ 展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85&page=2
疫情,出生就可美了,"
                        51秒前
                        ",iPhone客户端,"
                    真是服了 早上送了人回家回了两个小时疫情防控就封路  把路封死 让不让人回家了真是无语路封的一个不剩   让我们在路上的憋死[喜羊羊大电影] ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85&page=2
疫情,金堂发布,"
                        59秒前
                        ",,#堂堂播报# 4月2日新增本土确诊病例3例、无症状感染者3例，均为省外来蓉人员。（健康成都官微 ​​​）#疫情消息快亿点##4月2日新增本土无症状11691例# ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85&page=2
