关键词,用户名,发布时间,来自,博文,转发数,评论数,收藏数,页面网址
疫情,人民日报,"
                        今天12:02
                        ",微博 weibo.com,"
                    【广州市疾控中心：#广州封控区域内可能已经发生社区传播#】在广州市疫情防控新闻发布会上，广州市疾控中心发言人张周斌表示，经过初步研判，封控区域内可能已经发生社区传播，并存在向广州其他地区传播的可能性。白云区棠景街人口数量比较多，密度也比较大，这一带的人员跨区域流动比较频繁。奥密克戎 ​  展开c", 7193, 8325,110839,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,中新经纬,04月08日 00:39,@李静,"
                    【#人民网评宠物隔离#：#宠物不该沦为疫情的牺牲品#】近日，上海浦东宠物柯基犬被工作人员当街打死。卫健委疾病预防控制专家委员会委员卢洪州曾指出，感染新冠的宠物，到目前为止没把病毒回传给人的情况。人民网评论表示，这场灾难中，没有任何一个生命应该被放弃，宠物更不该沦为疫情的牺牲品。 ​  展开c", 45821, 30256,420549,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,澎湃新闻,"
                        04月08日 22:40
                        ",微博视频号,"
                    【英国首相：若出现更强毒株，不排除再次封城的可能性】#英首相称不排除再次因疫情封城的可能性# 4月8日，英国首相约翰逊表示，若出现更强毒株，他“不能排除”再一次因疫情封城的可能性，任何国家领导人如若排除可以挽救生命的措施都是“不负责任的”。O英国首相：若出现更强毒株，不排除再次封城的可能性 L澎湃新闻的微博视频 ​                ", 82, 120,296,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,eva听莲,"
                        4秒前
                        ",HUAWEI P30 Pro,"
                    成都疫情管理井然有序，小区封闭两天解封了👏解封后的踏青，朋友租的农家院子，午餐吃到了晚餐，巴适 2成都 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,揭阳空港消防,"
                        6秒前
                        ",,#四川犍为3人涉嫌妨害传染病防治罪被立案#隐瞒行程轨迹，违规组织聚餐，逃避防疫检查，为疫情传播带来了重大风险！ 了解【新型冠状病毒科普知识】，知道如实、主动、及时报告的重要性！ ​ ​​​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,珠海网警巡查执法,"
                        6秒前
                        ",微博 weibo.com,"
                    【#四川犍为3人涉嫌妨害传染病防治罪被立案#】据@犍为警方 ：3月30日，犍为县黄某某(女，42岁)核酸检测结果为阳性，诊断为新型冠状病毒无症状感染者。经调查：3月27日，黄某某与莫某某(男，42岁)、余某某(男，42岁)从上海经成都回到乐山市犍为县后，未遵守疫情防控相关规定，违规组织聚集聚餐，多次外 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,-夏常安y,"
                        14秒前
                        ",iPhone客户端,"
                    ·春天的一切你应该因为疫情耽搁··不能堂食的日子里也有一点好处··他和我年少时的偶像· ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,成都发布,"
                        15秒前
                        ",,"
                    【注意！4月10日起，所有赴蓉旅客登机前均须持24小时内核酸阴性证明】#成都城市服务台#为有效防范疫情通过航空口岸输入和扩散，根据成都市最新防疫要求，O2022年4月10日上午6时后抵达成都双流国际机场 、成都天府国际机场的所有旅客（入境人员除外），登机前均须提供24小时内核酸检测阴性证明，由各航空公司工作人员负责在登机 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,宁夏法治报,"
                        17秒前
                        ",iPhone客户端,#上海新增本土确诊1015例无症状22609例#【#上海副市长哽咽发言#】4月9日，上海新冠肺炎疫情防控新闻发布会上，上海市副市长、市疫情防控工作领导小组副组长宗明哽咽发言：3月份以来，广大市民朋友以高度的自觉自律，支持配合我们的防控工作。对于大家反映的问题，发出的呼声，我们感同身受，很多工作我 ​  展开c, 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,广州交通电台,"
                        22秒前
                        ",微博视频号,"
                    【核酸检测中如何做好个人防护】#广州爆料# #广州疫情# L广州交通电台的微博视频 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,又见都江堰,"
                        22秒前
                        ",K30 至尊纪念版,"
                    【张文宏：与奥密克戎作战 一块拼图都不能少】4月9日，国家传染病医学中心主任、上海市新冠肺炎医疗救治专家组组长张文宏撰文称，在疫情冲击下，我们要有一个与奥密克戎作战的大拼图，拼图里面有我们老百姓和整个社会在疫情下的基本需求。如果我们把这张拼图中的一块块都落到实处，精准填上，不能漏掉 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,Beee艾玛_,"
                        26秒前
                        ",iPhone客户端,"
                    拥有「有你真好」的朋友就是被治愈的感觉吧那种不用经常见面 但见面就可以聊不停的你想说的她都明白 你想要的她都给你你emo她能开解你给你意见你有成就她能替你开心高兴芜湖～庆幸成为社会人的这几年我们都能彼此陪伴一起向着我们的目标努力吧！哦对 广州疫情也快点退散吧 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,全网最热视频,"
                        27秒前
                        ",微博视频号,"
                    一不小心喜提方舱大礼包，看看方舱里都有啥吃的#突然被通知隔离要准备哪些物品##上海疫情# L全网最热视频的微博视频 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,猎奇研究所,"
                        27秒前
                        ",微博视频号,"
                    方舱第四天日记：今天发生了一件惊动所有人的大事，第一批转阴的小伙伴出院啦！希望大家都早日转阴！#突然被通知隔离要准备哪些物品##疫情# L猎奇研究所的微博视频 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,浦口发布,"
                        28秒前
                        ",微博视频号,"
                    自觉扫描场所码 疫情防控更精准 L浦口发布的微博视频 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,陈雯雯噢,"
                        33秒前
                        ",,#广州市行程卡带星号了#害……怎么疫情又开始反复了好不容易深圳摘星，去了趟广州耍耍今天一大早就被朋友嘲笑，行程码又戴🌟了…… ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,在逃圈主,"
                        36秒前
                        ",微博视频号,#疫情# #萌宠#因为疫情原因，饲养员被调离岗位，意想不到的是海獭宝宝懂事的让人心疼~ L在逃圈主的微博视频 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,南溪发布,"
                        38秒前
                        ",HUAWEI P40 5G,"
                    【#突然被通知隔离要准备哪些物品#？】假如突然接到被隔离的通知，一时间不知道准备些什么物品。#集中隔离备用物品清单#，特殊时期，备好这些，从容应对疫情之下的突发情况↓↓希望永远用不到（广州卫健委）O莫慌 | 突然被通知隔离，需要准备些什么物品呢？这份清单请收好→ ​​​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,精选情感汇,50秒前 转赞人数超过80,即刻笔记,"
                    “很期待这一天，所有新闻联播发布说，全球疫情终于结束。健康码，行程码功能关闭，所有人再也不用做核酸检测，不用戴口罩，万家灯火通明，等这一天的到来应该不会太久” ​                ", 27, 1,73,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
疫情,羊城晚报,"
                        51秒前
                        ",微博 weibo.com,"#广州带星# 【广州行程码“带星”！解释来了→】4月9日，广州发布《广州市个别区域疫情风险等级调整的通告》。

根据广东省新冠肺炎防控指挥办疫情防控组《关于印发广东省新冠肺炎本地疫情应急处置方案（第三版）的通知》，经广州市新冠肺炎防控指挥办同意，自2022年4月9日起，广州市白云区三元里大道1 ​ 展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E7%96%AB%E6%83%85
