关键词,博文
防疫,#拉面夫妇免费为防疫人员制作拉面#【#拉面夫妇的高速面馆#】王木洒和马阿飞牙夫妇在马鞍山市区经营着一家兰州拉面馆，疫情当前，考虑到公路查验点的防疫人员任务重、工作多，而且距离城区也远。夫妻俩一合计，干脆把店临时关了，到宁芜高速北出口公路查验点开展志愿服务，免费为防疫人员和过往司机制作 ​  展开c
防疫,"
                    感觉一些一线防疫人员，身心承受能力也快达到极限了，有关单位要注意安排调休。 L上帝之鹰_5zn的微博视频 ​                "
防疫,"
                    【下一秒全体笑场！ 16岁女生当防疫志愿者查到自己家 一本正经问妈妈家里有几个人】#16岁女生当防疫志愿者与妈妈一本正经对话#3月26日，上海。16岁女孩当防疫志愿者，查到自己家时，与妈妈对话假装不认识，下一秒俩人全都笑喷。女生妈妈王女士介绍，听到敲门声就猜到是女儿，女儿从小经常参加公 ​  展开c"
防疫,"
                    关于银川解封学校在查了，因为前天微博就直接带着学校名了就是说如果因为我指出了学校存在的漏洞和宁夏的面子工程，然后被开除。那会总结学校所有的问题，给大家避雷，大家都是宁夏的学生，知道的坑就一定要躲，再有弟弟妹妹啥的，千万别随便就被忽悠了。🙏🙏学校也别急眼了，职高技校都 ​  展开c"
防疫,#宁夏防疫面子工程#高中都不封校，就大中专封校，老师食堂阿姨，除了学生都可以随意出入，这是歧视吗？宁夏也没有疫情，我们也做了两次核酸了到底什么意思意思老师活动范围小就不会被传染，我们出校门就活动范围大了？我们是nb猴子吗？到处乱蹦，气死我了。 ​                
防疫,#仓溢东苑 防疫#仓溢东苑怎么了？有知道的人吗？ L--柠染的微博视频 ​                
防疫,#宁夏防疫面子工程#我们只是想回家，有什么错，学校美名其曰疫情封校，封校就封校，周六补什么课，补课就算了，为什么补完课还要回宿舍收拾内务，不让睡觉，什么烂怂教官，每天和犯人有什么区别，天天上课，不给我们休息，我们现在上课根本听不进去，每天浑浑噩噩的@人民网  ​  展开c
防疫,#吉林一车主未锁车请大白上车休息#【车主留纸条请“大白”上车休息】3月29日，吉林梅河口。一车主把车停路边却没锁，还给防疫志愿者留纸条：车未锁，志愿者可进车休息！最起码挡风。 L时间视频的微博视频 #督督熊防疫# ​                
防疫,#海南疫情# 亲们，今晚海口的目前情况。海口蓝天路酒吧街BB酒吧超市楼下。海口，府城凤翔路龙瀛康居小区（丽华大酒店对面）。海口海甸岛的德惠轩。海口市秀英区永万路维多利亚小区也封了！具体情况，有待确定，大家做好防疫。附近绕道。今晚会一直留意最新消息给大家。 2海口 ​                
防疫,#仓溢东苑 防疫#杭师封校大学可以继续封校了大冤种大学生啊 ​                
防疫,"#上海官方诚恳接受大家批评# 道歉有用么？何况仔细一看并没有道歉！

1.为什么前期不严控疫情？

2.为什么供应到不了小区？大家吃不上饭啊。

3.为什么物价飞涨？

这些不是上位者的错误么？为啥不道歉？没有人出来担责么？

后续只希望尽快控制住，但是前期肯定防疫有问题，这是问题和不足，承认并不 ​ 展开c"
防疫,"
                    #新冠后遗症#，远比新冠病毒可怕！务必耐心看完！ 告知亲朋好友做好防护！我们终将战胜疫情 ，正能量，致敬疫情前线最美逆行者 ，致敬医护人员 ，防疫人人有责 ，注意防范 2运城 L金蝴蝶探索者的微博视频 ​                "
防疫,#20220331#等着给我们一线防疫人员单采单测的时候昏昏欲睡，被志愿者拍下来3月干满31天！待到解封时一定要睡上三天三夜 ​                
防疫,#莱芜开学#莱芜来看看，所谓防疫措施就这么做吗？要么开学给个安全保障，要么就为了大家安全线上#济南疫情# @济南12345 ​                
防疫,#宁夏防疫面子工程#为了疫情防控，通知清明节封校，那封校还举行足球赛，这是为什么？不让学生回家祭祖，在学校踢足球？踢足球能抗疫情？这是新的治疗措施？如图是@银川科技学院 发的通知，这可不是无中生有，你让我封学校里踢足球，咱是清明节还是足球节？ 能不能给个解释！@微博银川 @宁夏新闻网  ​  展开c
防疫,"
                    三亚发布了新增两个无症状感染者活动轨迹的通告，通告里没写从哪来，但是写了航班号，查了一下果然。。。两个都是从上海去三亚的，上海这段时间防疫局势如此严峻的时间档口，前有初筛阳性还能坐上高铁的，后有俩无症状能坐飞机出港的，只能借用合肥的书记的一句话来作为结尾了，苛求没有输入是困难 ​  展开c"
防疫,"
                    松下与罗森共同打造的全国首个“罗森移动便利店”（移动售卖车）已于近日奔赴沈阳大东区前进街道，为封锁的社区及时输送防疫保障物资！冷藏、冷冻、常温、热食等所有零售需求均覆盖，守望相助，静待花开，相信沈阳一定会打赢这场疫情防控阻击战！ ​                "
防疫,#仓溢东苑 防疫#今晚  仓溢东苑  的核酸结果决定了明天整个未来科技城的动向，等官方通报吧！防疫必胜 L娱综影视的微博视频 ​                
防疫,#仓溢东苑 防疫#我好慌，我感觉我在盒马逛了一个小时。这哥5点20进去的，我应该6点左右去的。我就希望这大哥少买点东西别跟我有交集盒马已经封了 ​                
防疫,#抗“疫”一线 交警同行#|凌海交警“土方子”新用法，助力防疫情护春耕！近日，锦州凌海市公安交警大队立足“防疫情、护春耕、保安全”工作实际，采取“少聚集，广宣教”的措施，积极助力全市农村疫情防控和春耕备耕生产安全。    一、“大篷车”，走村串巷说安全    “严禁乘坐无牌无证农用三轮车， ​  展开c
防疫,"
                    习惯两点一线的生活，认真对待每次的防疫工作，接受一次又一次的延后复课……只求有些人，管好自己做个人！好好爱自己生活的小城祈祷疫情早日散去 2莆田 ​                "
防疫,"
                    【最高罚300万！南通出台指导意见，严查哄抬价格违法行为】记者3月31日获悉，南通市市场监管局、市发改委、市医保局联合出台《关于疫情防控期间查处哄抬价格违法行为的指导意见》（下称《意见》），保障我市疫情防控期间基本民生商品及防疫物资市场价格基本稳定，依法查处哄抬价格违法行为。链接:  ​  展开c"
防疫,#上海消杀#上海防疫是我见过最差的 ​                
防疫,"
                    派出所候审室里坐了三个人，彼此问起为什么会现在在这儿。第一个人说：“我因为支持防疫办。”第二个人说：“我因为反对防疫办。”第三个人说：“我就是基层防疫办的人。”--------------------------------------中央代表团到上海访问，地方官员陪他们参观了经济建设的伟大成就，并且得意地说 ​  展开c"
防疫,#宁夏防疫面子工程# 提供一个反馈思路小程序搜索 guo wu yuan直接打汉字会被封详细描述问题 描述大环境情况 描述红头文件 ​                
防疫,"#无锡疫情##无锡疫情防控# 2022年3月31日 ，无锡部分地区全员核酸两次，上午六点多，下午六点多。
如下图所示，（无锡部分地区不代表全部）这样的人和人之间，人挤人地在做核酸。
那么，做核酸的意义在哪里？
首先我认为地方组织的行动不严，防疫考虑不充足，其次志愿者人员的不充足，没有协调好群众， ​ 展开c"
