rank,string,count,frequency
1,没有,1116,0.0047
2,视频,1110,0.0047
3,小区,1089,0.0046
4,工作,1058,0.0045
5,确诊,1026,0.0044
6,新增,1008,0.0043
7,微博,975,0.0041
8,检测,851,0.0036
9,现在,850,0.0036
10,真的,839,0.0036
11,一个,836,0.0036
12,学校,782,0.0033
13,高校,780,0.0033
14,无症状,775,0.0033
15,新冠,733,0.0031
16,隔离,729,0.0031
17,人员,707,0.003
18,学生,705,0.003
19,物资,671,0.0029
20,抗疫,654,0.0028
21,已经,650,0.0028
22,今天,632,0.0027
23,本土,620,0.0026
24,生活,571,0.0024
25,不能,567,0.0024
26,社会,542,0.0023
27,阳性,532,0.0023
28,病例,521,0.0022
29,动态,489,0.0021
30,期间,489,0.0021
31,中国,480,0.002
32,希望,475,0.002
33,进行,474,0.002
34,肺炎,469,0.002
35,解封,466,0.002
36,知道,465,0.002
37,问题,459,0.002
38,情况,459,0.002
39,社区,456,0.0019
40,发布,450,0.0019
41,感染者,435,0.0019
42,封校,432,0.0018
43,新闻,408,0.0017
44,清明,408,0.0017
45,管控,399,0.0017
46,目前,386,0.0016
47,志愿者,374,0.0016
48,需要,368,0.0016
49,城市,367,0.0016
50,时间,367,0.0016
51,健康,367,0.0016
52,很多,365,0.0016
53,措施,365,0.0016
54,全市,364,0.0015
55,居民,362,0.0015
56,实现,355,0.0015
57,要求,355,0.0015
58,开展,355,0.0015
59,政策,353,0.0015
60,深圳,350,0.0015
61,2022,349,0.0015
62,看到,348,0.0015
63,病毒,345,0.0015
64,医院,343,0.0015
65,全国,338,0.0014
66,每天,337,0.0014
67,区域,337,0.0014
68,封控,337,0.0014
69,人民,323,0.0014
70,一刀切,316,0.0013
71,加油,313,0.0013
72,发现,312,0.0013
73,当前,308,0.0013
74,通知,308,0.0013
75,感染,307,0.0013
76,国家,297,0.0013
77,地区,296,0.0013
78,居家,296,0.0013
79,广州,295,0.0013
80,不要,295,0.0013
81,风险,292,0.0012
82,一起,292,0.0012
83,实行,290,0.0012
84,市民,289,0.0012
85,保障,288,0.0012
86,开放,287,0.0012
87,部分,280,0.0012
88,汕头大学,279,0.0012
89,口罩,279,0.0012
90,吉林,278,0.0012
91,朋友,276,0.0012
92,做好,276,0.0012
93,吉林市,269,0.0011
94,封闭式,268,0.0011
95,街道,261,0.0011
96,可能,261,0.0011
97,快递,260,0.0011
98,出现,257,0.0011
99,一线,257,0.0011
100,政府,254,0.0011
101,结束,254,0.0011
102,一下,253,0.0011
103,30,253,0.0011
104,地方,253,0.0011
105,安全,253,0.0011
106,影响,253,0.0011
107,大学,252,0.0011
108,买菜,252,0.0011
109,应该,249,0.0011
110,一直,248,0.0011
111,方舱,246,0.001
112,24,242,0.001
113,发布会,240,0.001
114,服务,239,0.001
115,一次,238,0.001
116,不会,236,0.001
117,配合,232,0.001
118,行动,232,0.001
119,大学生,230,0.001
120,假期,230,0.001
121,完全,228,0.001
122,严重,228,0.001
123,继续,227,0.001
124,小时,226,0.001
125,长春,226,0.001
126,全员,225,0.001
127,这种,221,0.0009
128,发生,218,0.0009
129,坚持,216,0.0009
130,觉得,215,0.0009
131,老师,213,0.0009
132,近日,210,0.0009
133,封城,209,0.0009
134,在家,208,0.0009
135,家里,208,0.0009
136,暂停,207,0.0009
137,正常,207,0.0009
138,通告,207,0.0009
139,上海市,206,0.0009
140,企业,205,0.0009
141,廊坊,205,0.0009
142,共存,203,0.0009
143,加强,202,0.0009
144,浦东,202,0.0009
145,之前,201,0.0009
146,268,200,0.0009
147,大白,200,0.0009
148,一天,200,0.0009
149,奥密克戎,200,0.0009
150,一定,200,0.0009
151,蔬菜,199,0.0008
152,13086,197,0.0008
153,患者,196,0.0008
154,调整,195,0.0008
155,报告,195,0.0008
156,回家,195,0.0008
157,相关,195,0.0008
158,实施,195,0.0008
159,老人,193,0.0008
160,准备,193,0.0008
161,武汉,192,0.0008
162,传播,192,0.0008
163,恢复,190,0.0008
164,10,190,0.0008
165,北京,189,0.0008
166,有人,188,0.0008
167,市长,188,0.0008
168,表示,186,0.0008
169,形势,186,0.0008
170,工作人员,186,0.0008
171,支援,186,0.0008
172,20,185,0.0008
173,最近,185,0.0008
174,网友,185,0.0008
175,起来,184,0.0008
176,战疫,184,0.0008
177,河南,183,0.0008
178,司机,182,0.0008
179,感觉,181,0.0008
180,校园,180,0.0008
181,通报,179,0.0008
182,群众,179,0.0008
183,高速,178,0.0008
184,几天,178,0.0008
185,行程,178,0.0008
186,支持,177,0.0008
187,成都,176,0.0007
188,活动,174,0.0007
189,14,170,0.0007
190,领导,170,0.0007
191,疫苗,170,0.0007
192,最新,169,0.0007
193,广东,168,0.0007
194,超市,167,0.0007
195,规定,167,0.0007
196,外卖,167,0.0007
197,不到,166,0.0007
198,昨天,166,0.0007
199,最后,165,0.0007
200,指挥部,165,0.0007
201,严格,165,0.0007
202,孩子,165,0.0007
203,重点,163,0.0007
204,记者,162,0.0007
205,看看,162,0.0007
206,经济,161,0.0007
207,医疗,161,0.0007
208,31,160,0.0007
209,早日,159,0.0007
210,感谢,158,0.0007
211,只能,158,0.0007
212,安排,158,0.0007
213,生产,155,0.0007
214,理解,155,0.0007
215,信息,155,0.0007
216,下午,154,0.0007
217,哽咽,153,0.0007
218,筛查,153,0.0007
219,关注,152,0.0006
220,沈阳,151,0.0006
221,辟谣,150,0.0006
222,基本,150,0.0006
223,落实,150,0.0006
224,突然,150,0.0006
225,安徽,149,0.0006
226,消息,147,0.0006
227,直接,146,0.0006
228,之后,144,0.0006
229,无法,144,0.0006
230,浦西,143,0.0006
231,江苏,143,0.0006
232,处理,143,0.0006
233,民警,143,0.0006
234,精准,143,0.0006
235,专家,142,0.0006
236,一点,141,0.0006
237,发言,140,0.0006
238,抗原,140,0.0006
239,求助,140,0.0006
240,到底,139,0.0006
241,反对,138,0.0006
242,29,138,0.0006
243,收到,137,0.0006
244,过去,137,0.0006
245,教育部,136,0.0006
246,了解,136,0.0006
247,进入,136,0.0006
248,真是,134,0.0006
249,宁波,134,0.0006
250,是不是,134,0.0006
251,非常,134,0.0006
252,出去,134,0.0006
253,提醒,133,0.0006
254,输入,132,0.0006
255,回应,131,0.0006
256,动物,131,0.0006
257,不力,131,0.0006
258,12,130,0.0006
259,重要,130,0.0006
260,28,130,0.0006
261,天天,130,0.0006
262,阴性,129,0.0005
263,山东,128,0.0005
264,发展,128,0.0005
265,今日,128,0.0005
266,其实,128,0.0005
267,控制,127,0.0005
268,完成,127,0.0005
269,清明节,127,0.0005
270,检查,127,0.0005
271,明天,126,0.0005
272,合肥,126,0.0005
273,医护人员,126,0.0005
274,事情,126,0.0005
275,公司,126,0.0005
276,香港,126,0.0005
277,相信,126,0.0005
278,进出,125,0.0005
279,两个,125,0.0005
280,聚集,125,0.0005
281,组织,124,0.0005
282,第一,124,0.0005
283,配送,123,0.0005
284,学院,123,0.0005
285,几个,123,0.0005
286,这是,122,0.0005
287,电话,122,0.0005
288,躺平,122,0.0005
289,出门,122,0.0005
290,同心,122,0.0005
291,持续,120,0.0005
292,召开,119,0.0005
293,广大,119,0.0005
294,自由,119,0.0005
295,辛苦,119,0.0005
296,东西,119,0.0005
297,珠海,118,0.0005
298,回来,118,0.0005
299,不了,118,0.0005
300,有效,118,0.0005
301,全面,118,0.0005
302,不让,117,0.0005
303,提供,117,0.0005
304,防护,117,0.0005
305,新型,116,0.0005
306,数据,116,0.0005
307,现场,116,0.0005
308,放假,116,0.0005
309,决定,116,0.0005
310,方式,115,0.0005
311,谢谢,115,0.0005
312,链接,115,0.0005
313,一个月,115,0.0005
314,集中,115,0.0005
315,个人,115,0.0005
316,科学,115,0.0005
317,严峻,114,0.0005
318,积极,114,0.0005
319,解决,114,0.0005
320,湖南,114,0.0005
321,采样,114,0.0005
322,张文宏,114,0.0005
323,两天,113,0.0005
324,世界,113,0.0005
325,及时,113,0.0005
326,开学,112,0.0005
327,教职工,112,0.0005
328,密接,112,0.0005
329,同学,112,0.0005
330,特别,112,0.0005
331,干部,111,0.0005
332,春天,111,0.0005
333,美国,111,0.0005
334,部门,111,0.0005
335,扑杀,111,0.0005
336,面对,110,0.0005
337,原因,110,0.0005
338,晚上,109,0.0005
339,最大,109,0.0005
340,老百姓,109,0.0005
341,中心,109,0.0005
342,货车,108,0.0005
343,临时,108,0.0005
344,治疗,108,0.0005
345,邻居,107,0.0005
346,长春市,107,0.0005
347,11,107,0.0005
348,南宁,107,0.0005
349,冠状病毒,107,0.0005
350,网上,106,0.0005
351,日起,105,0.0004
352,西安,105,0.0004
353,各地,105,0.0004
354,有序,104,0.0004
355,苏州,104,0.0004
356,网页,104,0.0004
357,每个,104,0.0004
358,注意,104,0.0004
359,妈妈,104,0.0004
360,我市,103,0.0004
361,好好,103,0.0004
362,解除,103,0.0004
363,湖北,102,0.0004
364,正在,102,0.0004
365,导致,101,0.0004
366,状态,101,0.0004
367,近期,101,0.0004
368,日子,101,0.0004
369,济南,101,0.0004
370,目标,100,0.0004
371,无锡,100,0.0004
372,公安,100,0.0004
373,27,100,0.0004
374,坚决,100,0.0004
375,放开,100,0.0004
376,单位,100,0.0004
377,建议,100,0.0004
378,哈哈哈,99,0.0004
379,特殊,99,0.0004
380,保护,99,0.0004
381,连续,99,0.0004
382,评论,99,0.0004
383,官方,99,0.0004
384,上午,99,0.0004
385,团购,98,0.0004
386,消毒,98,0.0004
387,得到,98,0.0004
388,居委,98,0.0004
389,营业,98,0.0004
390,现状,98,0.0004
391,驰援,98,0.0004
392,河北,98,0.0004
393,封控区,97,0.0004
394,有点,97,0.0004
395,国际,97,0.0004
396,应急,97,0.0004
397,终于,97,0.0004
398,足不出户,97,0.0004
399,适用,96,0.0004
400,南京,96,0.0004
401,宠物,96,0.0004
402,高风险,95,0.0004
403,整个,95,0.0004
404,早上,95,0.0004
405,15,95,0.0004
406,累计,95,0.0004
407,学习,95,0.0004
408,一周,94,0.0004
409,出入,94,0.0004
410,酒店,94,0.0004
411,努力,94,0.0004
412,居委会,94,0.0004
413,医生,94,0.0004
414,出行,94,0.0004
415,尽快,93,0.0004
416,国内,93,0.0004
417,场所,93,0.0004
418,不用,92,0.0004
419,生命,92,0.0004
420,范围,92,0.0004
421,造成,92,0.0004
422,接受,92,0.0004
423,医疗队,92,0.0004
424,平安,91,0.0004
425,扩散,91,0.0004
426,快速,91,0.0004
427,宝山,90,0.0004
428,复杂,90,0.0004
429,本来,90,0.0004
430,宣传,90,0.0004
431,网络,90,0.0004
432,吉林省,89,0.0004
433,男子,89,0.0004
434,22609,88,0.0004
435,1015,88,0.0004
436,教学,88,0.0004
437,两年,88,0.0004
438,人群,88,0.0004
439,死亡,88,0.0004
440,担心,88,0.0004
441,确实,88,0.0004
442,确保,88,0.0004
443,选择,88,0.0004
444,外溢,87,0.0004
445,日常,87,0.0004
446,做到,87,0.0004
447,温暖,87,0.0004
448,介绍,87,0.0004
449,不少,86,0.0004
450,本轮,86,0.0004
451,宿舍,86,0.0004
452,三月,86,0.0004
453,赶紧,86,0.0004
454,保持,86,0.0004
455,地铁,86,0.0004
456,有没有,86,0.0004
457,抗击,85,0.0004
458,今年,85,0.0004
459,容易,84,0.0004
