,texta,textb
0,有我们不行大学生活才四年，稍,坊人民的经济和生活带来了巨大
1,热，实际上大家生活并没有太多,老师都在正常的生活，只有高校
2,了两年了，大学生活已经被榨干,起了自己的大学生活……30日
3,易被环境麻痹 生活就是这样 ,  为啥深圳慢生活就没啥人抱
4,徽大学生的封校生活合肥高,徽大学生的封校生活
5,不出。保障基本生活必需的外卖,控期间在校学习生活健康指南
6,复正常社会生产生活秩序， ,了。因为在现实生活中（不是在
7,都不开门，日常生活都受影响。,想哇哇大哭感觉生活没法继续下
8,旦•生活 “寝,封闭管理，农村生活还是蛮不错
9,区流动；各类非生活必须的营业,公寓、二区学生生活区和  
10,海人想过正常的生活，想出去看,能在一个区域内生活看着别人随
11,复正常社会生产生活秩序，最大,富同学们的在校生活，有效疏解
12,资和居民急需的生活用品很大程,徽大学生的封校生活合肥学
13,资和居民急需的生活用品很大程,？学生也有很多生活需求是在学
14,么啊？普通人的生活完全被打乱,大楼依然封着 生活还要继续 
15,友，抢着给我送生活必须用品！,候能结束 我的生活啥时候能回
16,复正常社会生产生活秩序，最大,20年在湖北的生活。虽然目前
17,派一人可以采购生活物资，20,海洋大学海大生活图鉴 疫
18,上了与世隔离的生活。实际上，,上海生活吉吉的
19,徽大学生的封校生活所以就大,不动封闭管理的生活了！！！ 
20,美团上买自己的生活用品，还警,够健康、正常的生活。而且封闭
21,徽大学生的封校生活合肥高,够健康、正常的生活。而且封闭
22,理期间娱乐文化生活，营造一个,可能不影响公众生活”，实际上
23,，影响学生正常生活的问题。 ,公寓、二区学生生活区和“五基
24,旦•生活 气泡,李园学生公寓学生活动场所，桃
25,派一人可以采购生活物资，20,代大学生封校的生活汕头70
26,旦•生活 气泡,待早日恢复正常生活    
27,封闭管理之校园生活日记》 ,代大学生封校的生活清远大学
28,疫情反复的隔离生活和空难这种,生 万物有光生活需要仪式感
29,就没有影响人民生活和市场经济,是很向往之前的生活的，封闭管
30,式管理的工作与生活的第七天。,特殊时期的城市生活，看深圳是
31,的日子有点闷，生活补给一靠抢,孩”过得好吗？生活保障如何？
32,舞台？戏剧就是生活！3月2,染者自述隔离点生活防疫隔
33,时起，住院患者生活必需品可于,万的防疫物资和生活物资，支援
34,常的教学秩序和生活秩序。O,庭两点一线简单生活轨迹学
35,人一起这种集体生活从毕业到现,"不容易都是为了生活…”
“多"
36,，这算什么大学生活。   ,到疫情爆发前的生活了，所以我
37,，买菜买不到，生活基本水平维,早日过上正常的生活    
38,旦•生活 准封,康，绿色环保的生活吧～爱国
39,到位，确保职工生活，确保稳定,区和人群的正常生活。』  
40,始恢复线下生产生活教学了，上,切？所以我们是生活在文明社 
41,证小区居民正常生活，但是先把,说货车司机为了生活不容易，那
42,徽大学生的封校生活合肥高,肉蛋菜奶等群众生活必需品价格
43,多更新一些校园生活视频，看到,染者自述隔离点生活超市防
44,学3万名学生的生活起居，30,何购买粮油菜等生活用品的信息
45,"常的教学秩序和生活秩序。

",代大学生封校的生活广州高
46,秩序，忙通宵。生活，其实真的,青旅漫游 放肆生活 岛城
47,控、管控管理。生活必需品经营,生的心理需求、生活需求和就医
48,徽大学生的封校生活除了学生,：山 东 省 生活 必 需 
49,记录生活 封闭管,染者自述隔离点生活疫情仍
50,理”，出现任何生活上的困难都,疫情 徐州生活 徐州
51,前体验一下老年生活📷|@河北,大的影响，你在生活中会有哪些
52,旦•生活 周末,出去买菜，解决生活必须的地区
53,们的日常学习和生活产生了不少,代大学生封校的生活广州高
54,这给独居老人的生活带来了很多,病人怎么配药？生活采买怎么解
55,快乐学习、健康生活带来不一样,没了 我们日常生活咋办😅我真
56,学3万名学生的生活起居，30,么做的？ 没有生活基本物质？
57,海zf你给我发生活费吗？对了,康桥镇居民怎么生活？   
58,学3万名学生的生活起居，30,序恢复正常生产生活秩序自
59,，不能满足日常生活    ,轨迹，都是为了生活而奔波的普
60,牺牲百姓的日常生活    ,同的国内外城市生活过（超过半
61,下学生的每一个生活需求   ,就是等着把你所生活的国家变成
